track_genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,std_dev,avg_popularity
acoustic,0.05095667456080677,-0.19519876364439226,-0.14836574099134636,-0.09715405422082596,0.13950689811304434,0.00364981175598746,-0.06326703621269472,0.6789713434978096,0.7056401450773571
afrobeat,-0.025080821212052084,-0.04847157441058959,0.07389708426902585,0.0526345540461593,0.038949653900099586,-0.10049329472690369,0.0016686649168776212,0.5580715220124967,0.388782786957055
alt-rock,0.010424622977822113,-0.08198240674935899,-0.004980115861867868,-0.04146117078568837,-0.004836242395819427,-0.022441936911057326,0.03882271885054972,0.46104663548505115,0.5560072188250136
alternative,-0.005142181970494502,0.025121571767571276,0.03950872512071975,-0.11101016993560024,-0.0791748851972968,-0.01547963102753722,0.0055756917711896,0.46293734136818865,0.38769645892103094
ambient,0.03864871774301576,0.04651426946032005,0.07983770319010446,-0.04193873085101418,-0.009910670601833363,-0.12444726531874001,-0.07570405000438658,1.3120984094034074,0.7355667303278257
anime,-0.010541482864084057,0.049528586528454,0.07313637263170347,-0.06887688033402757,-0.11228056353674767,-0.044863793498399855,-0.08708433119243647,1.048100710886892,0.8158323550540536
black-metal,0.14247741054299384,-0.08291227744380944,0.06652065139795897,-0.09473310924649397,0.0387720461163734,-0.003512865565011981,-0.0900597570676107,0.5421481829198825,0.3546160180821054
bluegrass,0.04388355950138964,-0.11288435505545255,-0.020427774172126528,0.01677254711483105,0.05749169363619346,-0.07891669197352426,-0.07953121287703577,0.643440277750671,0.411157640215163
blues,-0.10853429725289959,0.13449103916436989,0.06831233078823927,-0.052893771014505556,-0.37213707072113045,0.13782049726863518,-0.05163424639753613,0.6474853765920073,0.5077357069016872
brazil,-0.031234372191286806,-0.014143864592112379,0.12289870905098987,0.07392555429237767,0.0007576108915353575,-0.2059641328908041,0.0761842515797179,0.5277177319599164,0.7439594904771083
breakbeat,-0.24806913221400967,0.05917692065202529,0.06945881141904917,-0.03101646012892416,-0.008660110331172973,0.006207923138275582,0.0492263091765935,0.5643939889727537,0.31386119531126805
british,0.08708450691237345,0.12211540942863087,0.2118209193159851,-0.03297126068959986,-0.0847815747158557,-0.22457456587541183,0.020814543888188184,0.9487838677682212,0.7287508979727717
cantopop,-0.012255983266210089,-0.03669750435260131,0.09466679113875193,0.0002984814852963051,0.14281597184682168,-0.014456296143972551,-0.11376103710502858,0.5519055222938495,0.5699542690939674
chicago-house,-0.021631911408991567,-0.05169763194593746,0.02764794309656946,-0.06531195002414328,0.017664462070836492,-0.07927603335963024,0.059048165955844,0.5952407090737771,0.17747446253044347
children,0.16034294090808976,-0.2286091297474681,-0.14396283456578696,-0.08790743503528597,0.09343023604403711,-0.083177189441991,-0.04871640978841961,0.8017357846865425,0.5753508664342157
chill,0.04958740309977056,-0.038450168553006474,-0.07343431870782409,0.09654079810515699,-0.0007493944657933157,-0.0005283982700865144,0.059422372518033624,0.7612704949354906,0.9013193629211711
classical,0.21120410645014573,0.4113492219106643,0.3259618428322777,0.14779850423062416,-0.32919920410390835,-0.27573032915395584,0.03533800828813358,1.1985270581496505,0.19001979920452752
club,0.04191829824174608,0.01815782824815668,0.12611140888984057,-0.1965278153086075,-0.007515685874961803,-0.05069602310188477,-0.08069385721366566,0.627738653385617,0.5454067597638113
comedy,0.37361203724970793,-0.11230137750041798,0.19916970436408984,-0.43288337809256455,-0.48173969537720135,0.05741946025083309,-0.40481989419204145,0.8326897811950987,0.3927951921223696
